id_jogador,id_time,ano,gols,assistencias,partidas,penaltis,GolsEsperadosPorJogo
1244,1783,2025,15,12,26,1,0.58
91310,1771,2025,15,6,27,0,0.56
181439,1769,2025,13,3,26,1,0.5
59859,1780,2025,12,1,27,3,0.44
1077,1783,2025,12,6,23,1,0.52
203356,1780,2025,11,1,28,2,0.39
1340,4364,2025,11,5,28,5,0.39
170698,1769,2025,10,1,26,2,0.38
16481,6684,2025,9,5,21,5,0.43
40134,1837,2025,8,1,26,1,0.31
12837,1782,2025,8,0,21,1,0.38
83705,6685,2025,7,1,26,0,0.27
1325,1779,2025,7,2,19,1,0.37
179032,4286,2025,7,4,26,2,0.27
8,1777,2025,7,3,26,2,0.27
1327,1771,2025,6,2,28,1,0.21
171304,1780,2025,6,5,29,0,0.21
114353,4286,2025,6,1,18,0,0.33
3467,1767,2025,6,0,18,4,0.33
21951,1765,2025,6,0,21,1,0.29
45490,1771,2025,6,6,27,0,0.22
42901,1776,2025,6,3,26,1,0.23
8413,1783,2025,6,2,27,0,0.22
40067,4364,2025,6,0,14,0,0.43
11680,6684,2025,5,1,22,1,0.23
140873,1777,2025,5,3,26,0,0.19
1326,4286,2025,5,2,25,2,0.2
45459,1776,2025,5,2,20,1,0.25
179043,1837,2025,5,3,28,0,0.18
18732,4364,2025,5,3,25,0,0.2
128775,1778,2025,5,0,14,1,0.36
3228,1780,2025,5,3,24,0,0.21
1226,1766,2025,4,1,27,0,0.15
11194,4245,2025,4,1,26,0,0.15
83053,4286,2025,4,3,27,0,0.15
8472,1779,2025,4,4,17,0,0.24
204018,4364,2025,4,1,28,0,0.14
1427,4364,2025,4,1,20,0,0.2
103499,1776,2025,4,2,23,0,0.17
82534,1766,2025,4,1,26,0,0.15
77159,1770,2025,4,2,22,0,0.18
143549,1769,2025,4,3,27,0,0.15
56066,1783,2025,4,1,22,0,0.18
143037,4245,2025,4,2,24,0,0.17
103448,4364,2025,4,2,22,0,0.18
21689,1766,2025,4,3,24,1,0.17
15973,1837,2025,4,2,21,0,0.19
118245,1771,2025,4,2,23,0,0.17
181336,1765,2025,4,3,25,0,0.16
169022,3984,2025,4,0,22,0,0.18
28422,1777,2025,4,0,22,0,0.18
1291,6685,2025,4,2,22,0,0.18
110928,1777,2025,4,0,25,0,0.16
22061,6684,2025,4,2,16,1,0.25
149959,1776,2025,4,0,13,0,0.31
95982,4364,2025,4,5,17,0,0.24
172113,1770,2025,4,0,9,0,0.44
13647,4364,2025,3,2,25,0,0.12
1580,1767,2025,3,1,24,0,0.13
39599,3984,2025,3,1,27,0,0.11
11192,1783,2025,3,0,27,0,0.11
256339,1770,2025,3,1,10,0,0.3
28740,1769,2025,3,2,27,2,0.11
1107,1765,2025,3,1,23,0,0.13
203646,1782,2025,3,0,21,1,0.14
1196,3984,2025,3,0,26,0,0.12
181575,1770,2025,3,2,22,0,0.14
15904,1770,2025,3,2,23,2,0.13
152236,1767,2025,3,0,24,0,0.13
1338,1776,2025,3,0,20,0,0.15
145985,1765,2025,3,0,24,0,0.13
119594,1769,2025,3,7,25,0,0.12
263478,6684,2025,3,0,18,0,0.17
45372,6684,2025,3,1,25,1,0.12
1723,1770,2025,3,2,13,0,0.23
194867,1767,2025,3,2,21,0,0.14
8491,6685,2025,3,0,14,1,0.21
40441,1782,2025,3,4,25,0,0.12
1547,1777,2025,3,0,27,0,0.11
1191,1778,2025,3,4,24,1,0.13
259933,1779,2025,3,1,17,0,0.18
2060,1769,2025,3,2,26,0,0.12
1447,1779,2025,3,0,23,1,0.13
37833,1767,2025,3,0,6,1,0.5
1189,6684,2025,2,0,25,0,0.08
1441,1837,2025,2,0,28,0,0.07
82776,4286,2025,2,0,28,0,0.07
169575,1765,2025,2,1,25,0,0.08
179177,1765,2025,2,2,25,0,0.08
1317,1783,2025,2,0,26,1,0.08
142224,1778,2025,2,1,28,0,0.07
1658,1837,2025,2,0,23,0,0.09
181506,4245,2025,2,0,27,0,0.07
21080,4245,2025,2,0,21,0,0.1
203872,1777,2025,2,3,17,0,0.12
113931,1782,2025,2,1,26,0,0.08
12931,4364,2025,2,1,29,0,0.07
138222,4245,2025,2,1,25,0,0.08
15914,6685,2025,2,3,27,2,0.07
1548,1777,2025,2,3,24,1,0.08
165600,6684,2025,2,0,20,0,0.1
273330,1776,2025,2,0,12,0,0.17
39954,1765,2025,2,0,25,0,0.08
8404,6684,2025,2,0,27,0,0.07
142131,1767,2025,2,0,21,0,0.1
72781,1766,2025,2,2,28,0,0.07
77470,1779,2025,2,0,27,0,0.07
8863,1767,2025,2,2,20,0,0.1
28614,1765,2025,2,2,23,0,0.09
12653,1766,2025,2,0,18,0,0.11
1192,1770,2025,2,4,23,0,0.09
23363,1837,2025,2,5,24,0,0.08
250800,4364,2025,2,0,29,0,0.07
1250,1771,2025,2,2,28,0,0.07
1465,3984,2025,2,1,28,2,0.07
122016,6685,2025,2,2,26,1,0.08
38734,4245,2025,2,2,21,0,0.1
1266,1771,2025,2,0,26,0,0.08
45173,1769,2025,2,1,21,0,0.1
169236,4286,2025,2,1,25,0,0.08
18742,1778,2025,2,0,27,0,0.07
276222,3984,2025,2,0,18,0,0.11
165246,1777,2025,2,1,19,0,0.11
28564,1780,2025,2,2,27,0,0.07
168954,1776,2025,2,1,27,0,0.07
8457,1770,2025,2,0,18,0,0.11
12585,1837,2025,2,1,27,0,0.07
177639,1778,2025,2,2,16,0,0.13
13710,1779,2025,2,3,25,0,0.08
1356,4245,2025,2,4,28,2,0.07
1251,1780,2025,2,3,17,0,0.12
76910,1765,2025,2,0,9,0,0.22
1741,1769,2025,2,1,24,0,0.08
178710,1783,2025,2,4,12,0,0.17
250493,1770,2025,2,2,12,0,0.17
39920,1767,2025,2,0,24,2,0.08
169553,6684,2025,2,1,21,0,0.1
113671,1770,2025,2,3,24,0,0.08
1686,1769,2025,2,3,20,1,0.1
140647,1769,2025,2,2,17,0,0.12
33153,1769,2025,2,0,8,0,0.25
1773,1766,2025,2,0,26,0,0.08
32156,1782,2025,2,1,12,0,0.17
192844,6685,2025,2,1,26,0,0.08
191415,1770,2025,2,1,21,0,0.1
103139,1782,2025,2,1,21,0,0.1
115222,1769,2025,2,0,25,0,0.08
1182,1771,2025,1,0,16,0,0.06
177308,1767,2025,1,1,12,0,0.08
12670,3984,2025,1,0,17,0,0.06
1073,1777,2025,1,1,23,0,0.04
32309,1779,2025,1,0,15,0,0.07
161037,1837,2025,1,1,22,0,0.05
160792,1770,2025,1,0,29,0,0.03
45802,3984,2025,1,1,16,0,0.06
40009,6684,2025,1,0,15,0,0.07
13867,1782,2025,1,0,7,0,0.14
18478,1777,2025,1,0,10,0,0.1
1156,6685,2025,1,0,24,0,0.04
1308,6685,2025,1,0,15,0,0.07
130957,1769,2025,1,0,27,0,0.04
99293,1766,2025,1,0,24,0,0.04
1439,4286,2025,1,0,16,0,0.06
1546,1765,2025,1,0,24,0,0.04
22306,1765,2025,1,4,12,1,0.08
1867,1783,2025,1,0,11,0,0.09
7881,1783,2025,1,0,21,0,0.05
169556,6685,2025,1,0,18,0,0.06
203337,1782,2025,1,0,11,0,0.09
1177,3984,2025,1,0,24,0,0.04
1246,1771,2025,1,1,26,0,0.04
15912,1778,2025,1,0,13,0,0.08
29217,4364,2025,1,2,9,0,0.11
46266,1766,2025,1,1,15,0,0.07
18781,1782,2025,1,0,22,0,0.05
1239,1770,2025,1,1,28,0,0.04
1159,1783,2025,1,1,26,0,0.04
168882,1777,2025,1,1,29,0,0.03
8753,1767,2025,1,0,25,0,0.04
12960,1782,2025,1,0,16,0,0.06
203375,6685,2025,1,0,21,0,0.05
1678,1778,2025,1,0,20,0,0.05
153573,6684,2025,1,1,27,0,0.04
249136,1779,2025,1,0,9,0,0.11
9946,1777,2025,1,3,28,0,0.04
46461,3984,2025,1,2,19,0,0.05
146350,3984,2025,1,0,13,0,0.08
169125,1766,2025,1,0,13,0,0.08
1445,4286,2025,1,0,25,0,0.04
170525,1769,2025,1,1,19,0,0.05
118086,1780,2025,1,0,16,0,0.06
12594,1765,2025,1,1,24,0,0.04
1074,1783,2025,1,0,22,0,0.05
249134,6684,2025,1,0,23,0,0.04
178961,4286,2025,1,1,25,0,0.04
203401,1783,2025,1,0,28,0,0.04
13455,1783,2025,1,3,16,0,0.06
274216,1769,2025,1,2,27,0,0.04
144121,1765,2025,1,1,20,0,0.05
28282,1770,2025,1,0,24,0,0.04
1080,1770,2025,1,4,26,0,0.04
179054,1779,2025,1,1,27,0,0.04
249147,1783,2025,1,2,19,0,0.05
206708,1770,2025,1,1,12,0,0.08
141633,4286,2025,1,1,26,0,0.04
45865,1771,2025,1,1,27,0,0.04
119383,1779,2025,1,0,27,0,0.04
131880,4286,2025,1,0,26,0,0.04
131279,4286,2025,1,1,23,0,0.04
21600,3984,2025,1,2,23,0,0.04
119622,1780,2025,1,0,26,0,0.04
181463,1767,2025,1,0,20,0,0.05
183580,1771,2025,1,0,26,0,0.04
179164,1783,2025,1,2,14,0,0.07
44093,1782,2025,1,0,14,0,0.07
61447,1782,2025,1,1,23,0,0.04
23615,3984,2025,1,0,21,0,0.05
276239,6685,2025,1,2,23,0,0.04
37484,6685,2025,1,0,21,0,0.05
1408,1783,2025,1,2,27,0,0.04
3789,1779,2025,1,1,16,0,0.06
141379,1766,2025,1,0,28,0,0.04
49421,4245,2025,1,0,19,0,0.05
79609,1776,2025,1,0,29,0,0.03
182480,1770,2025,1,0,27,0,0.04
169234,1770,2025,1,0,20,0,0.05
61369,1765,2025,1,0,16,0,0.06
139933,1766,2025,1,1,24,0,0.04
191772,6685,2025,1,1,12,0,0.08
181603,4245,2025,1,1,12,0,0.08
8003,1776,2025,1,0,7,0,0.14
276272,1776,2025,1,0,10,0,0.1
117822,1780,2025,1,6,22,0,0.05
1172,1780,2025,1,0,21,0,0.05
1436,1767,2025,1,0,4,0,0.25
280896,4286,2025,1,0,6,0,0.17
1301,1779,2025,1,0,18,0,0.06
169542,1776,2025,1,0,21,0,0.05
149704,1770,2025,1,0,7,0,0.14
203397,1770,2025,1,0,27,0,0.04
103442,4364,2025,1,1,25,0,0.04
