id_partida,id_time_visitante,id_time_casa,ID_Tempo,gols_casa,gols_visitante,ano,Vencedor
534938,1778,1776,2025-03-29T21:30:00Z,0,0,2025,0
534940,4364,1771,2025-03-29T21:30:00Z,2,1,2025,1771
534941,1766,1767,2025-03-29T21:30:00Z,2,1,2025,1767
534943,1765,3984,2025-03-29T21:30:00Z,2,0,2025,3984
534944,1782,4245,2025-03-29T21:30:00Z,2,0,2025,4245
534935,6684,1783,2025-03-30T00:00:00Z,1,1,2025,0
534937,1770,1769,2025-03-30T19:00:00Z,0,0,2025,0
534936,6685,1780,2025-03-30T21:30:00Z,2,1,2025,1780
534942,1779,1777,2025-03-30T23:00:00Z,1,1,2025,0
534939,1837,4286,2025-03-31T23:00:00Z,2,2,2025,0
534947,1780,1779,2025-04-05T21:30:00Z,3,0,2025,1779
534953,1767,1837,2025-04-05T21:30:00Z,2,0,2025,1837
534946,4245,1770,2025-04-06T00:00:00Z,2,0,2025,1770
534945,4286,1765,2025-04-06T19:00:00Z,2,1,2025,1765
534950,1776,1766,2025-04-06T19:00:00Z,0,0,2025,0
534949,3984,4364,2025-04-06T21:30:00Z,1,1,2025,0
534951,1771,6684,2025-04-06T21:30:00Z,3,0,2025,6684
534952,1783,1782,2025-04-06T21:30:00Z,1,2,2025,1783
534954,1769,1778,2025-04-06T21:30:00Z,1,2,2025,1769
534948,1777,6685,2025-04-06T23:30:00Z,2,2,2025,0
534959,1770,4286,2025-04-12T19:00:00Z,1,0,2025,4286
534964,1837,4245,2025-04-12T19:00:00Z,2,1,2025,4245
534957,1779,1769,2025-04-12T21:30:00Z,2,0,2025,1769
534956,1778,1780,2025-04-13T00:00:00Z,3,1,2025,1780
534962,4364,1777,2025-04-13T19:00:00Z,1,1,2025,0
534958,1771,1776,2025-04-13T20:30:00Z,1,1,2025,0
534961,1783,1767,2025-04-13T20:30:00Z,0,2,2025,1783
534955,6685,1765,2025-04-13T22:30:00Z,1,0,2025,1765
534963,6684,3984,2025-04-13T23:00:00Z,0,0,2025,0
534960,1782,1766,2025-04-13T23:30:00Z,2,2,2025,0
534973,1780,1837,2025-04-16T00:30:00Z,2,1,2025,1837
534966,1776,1770,2025-04-16T21:30:00Z,2,2,2025,0
534969,1767,4364,2025-04-16T22:00:00Z,4,1,2025,4364
534974,4286,1778,2025-04-16T22:00:00Z,0,1,2025,4286
534967,1765,1779,2025-04-16T22:30:00Z,0,2,2025,1765
534971,1769,6684,2025-04-16T22:30:00Z,0,1,2025,1769
534965,4245,1783,2025-04-17T00:30:00Z,6,0,2025,1783
534968,1766,6685,2025-04-17T00:30:00Z,2,0,2025,6685
534972,3984,1782,2025-04-17T00:30:00Z,2,1,2025,1782
534970,1777,1771,2025-04-18T00:30:00Z,3,0,2025,1771
534977,1778,1779,2025-04-19T19:00:00Z,2,1,2025,1779
534976,1783,1780,2025-04-19T21:30:00Z,0,0,2025,0
534981,6684,1767,2025-04-20T00:00:00Z,1,1,2025,0
534984,4364,4245,2025-04-20T14:00:00Z,2,2,2025,0
534978,6685,1776,2025-04-20T19:00:00Z,2,1,2025,1776
534980,1770,1766,2025-04-20T19:00:00Z,1,0,2025,1766
534975,1782,1765,2025-04-20T21:30:00Z,1,1,2025,0
534983,1769,3984,2025-04-20T21:30:00Z,1,2,2025,1769
534979,1771,4286,2025-04-20T23:30:00Z,1,0,2025,4286
534982,1837,1777,2025-04-21T23:00:00Z,1,0,2025,1777
534991,4245,6684,2025-04-26T19:00:00Z,3,1,2025,6684
534989,1766,4364,2025-04-26T21:30:00Z,2,2,2025,0
534993,1776,1837,2025-04-26T21:30:00Z,1,1,2025,0
534994,3984,1778,2025-04-26T23:00:00Z,0,0,2025,0
534986,1765,1770,2025-04-27T00:00:00Z,2,0,2025,1770
534985,1779,1783,2025-04-27T19:00:00Z,4,0,2025,1783
534987,1777,1769,2025-04-27T21:30:00Z,0,1,2025,1777
534990,1780,1771,2025-04-27T21:30:00Z,1,0,2025,1771
534992,1767,1782,2025-04-27T21:30:00Z,1,1,2025,0
534988,4286,6685,2025-04-27T23:30:00Z,1,2,2025,4286
534998,3984,1776,2025-05-03T00:30:00Z,0,0,2025,0
534995,1778,1765,2025-05-03T21:30:00Z,2,1,2025,1765
534997,6684,1779,2025-05-03T21:30:00Z,4,2,2025,1779
535003,1782,1837,2025-05-03T21:30:00Z,1,0,2025,1837
535002,1770,1777,2025-05-04T00:00:00Z,1,0,2025,1777
534996,1769,1780,2025-05-04T19:00:00Z,0,1,2025,1769
535001,6685,1767,2025-05-04T19:00:00Z,1,0,2025,1767
535000,1783,1771,2025-05-04T21:30:00Z,2,1,2025,1771
534999,4364,4286,2025-05-05T22:00:00Z,1,0,2025,4286
535004,1766,4245,2025-05-05T23:00:00Z,0,1,2025,1766
535013,4245,3984,2025-05-10T19:00:00Z,5,0,2025,3984
535009,1779,4364,2025-05-10T21:30:00Z,2,1,2025,4364
535011,4286,1767,2025-05-10T21:30:00Z,1,1,2025,0
535012,1780,1782,2025-05-10T21:30:00Z,2,1,2025,1782
535005,1777,1783,2025-05-11T00:00:00Z,1,0,2025,1783
535014,1771,1778,2025-05-11T19:00:00Z,0,4,2025,1771
535007,1776,1769,2025-05-11T20:30:00Z,1,0,2025,1769
535010,1765,1766,2025-05-11T20:30:00Z,3,2,2025,1766
535006,6684,1770,2025-05-11T23:00:00Z,4,0,2025,1770
535008,1837,6685,2025-05-12T23:00:00Z,0,0,2025,0
