ID_Tempo,ano,mes,dia
2024-07-21T00:00:00Z,2024,7,21
2024-09-11T22:30:00Z,2024,9,11
2024-10-03T22:00:00Z,2024,10,3
2024-04-14T00:00:00Z,2024,4,14
2024-11-08T22:00:00Z,2024,11,8
2024-06-20T00:30:00Z,2024,6,20
2024-09-01T21:30:00Z,2024,9,1
2024-07-28T19:00:00Z,2024,7,28
2024-10-04T00:30:00Z,2024,10,4
2024-04-21T19:00:00Z,2024,4,21
2024-06-27T23:00:00Z,2024,6,27
2024-05-11T19:00:00Z,2024,5,11
2024-06-01T21:30:00Z,2024,6,1
2024-06-01T19:00:00Z,2024,6,1
2024-07-17T22:00:00Z,2024,7,17
2024-09-21T21:30:00Z,2024,9,21
2024-10-22T22:30:00Z,2024,10,22
2024-06-20T21:30:00Z,2024,6,20
2024-10-20T23:00:00Z,2024,10,20
2024-07-07T19:00:00Z,2024,7,7
2024-08-11T19:00:00Z,2024,8,11
2024-04-28T19:00:00Z,2024,4,28
2024-07-28T14:00:00Z,2024,7,28
2024-06-16T19:00:00Z,2024,6,16
2024-07-04T00:30:00Z,2024,7,4
2024-11-20T19:30:00Z,2024,11,20
2024-05-04T21:30:00Z,2024,5,4
2024-07-20T21:30:00Z,2024,7,20
2024-11-30T22:30:00Z,2024,11,30
2024-05-12T19:00:00Z,2024,5,12
2024-07-17T00:00:00Z,2024,7,17
2024-09-01T19:00:00Z,2024,9,1
2024-09-29T00:00:00Z,2024,9,29
2024-08-24T21:30:00Z,2024,8,24
2024-08-17T21:30:00Z,2024,8,17
2024-09-25T22:00:00Z,2024,9,25
2024-08-18T19:00:00Z,2024,8,18
2024-04-20T21:30:00Z,2024,4,20
2024-04-14T19:00:00Z,2024,4,14
2024-05-05T19:00:00Z,2024,5,5
2024-06-13T23:00:00Z,2024,6,13
2024-09-01T14:00:00Z,2024,9,1
2024-10-28T22:00:00Z,2024,10,28
2024-08-03T22:00:00Z,2024,8,3
2024-08-11T00:30:00Z,2024,8,11
2024-11-02T00:00:00Z,2024,11,2
2024-06-21T00:30:00Z,2024,6,21
2024-12-05T00:30:00Z,2024,12,5
2024-08-03T23:00:00Z,2024,8,3
2024-08-18T00:00:00Z,2024,8,18
2024-06-30T21:30:00Z,2024,6,30
2024-04-21T00:00:00Z,2024,4,21
2024-10-26T22:00:00Z,2024,10,26
2024-06-14T00:30:00Z,2024,6,14
2024-07-07T21:00:00Z,2024,7,7
2024-05-05T21:30:00Z,2024,5,5
2024-06-02T19:00:00Z,2024,6,2
2024-09-22T19:00:00Z,2024,9,22
2024-10-06T00:00:00Z,2024,10,6
2024-04-27T21:30:00Z,2024,4,27
2024-07-27T23:00:00Z,2024,7,27
2024-04-21T21:30:00Z,2024,4,21
2024-04-28T00:00:00Z,2024,4,28
2024-10-05T19:30:00Z,2024,10,5
2024-12-08T19:00:00Z,2024,12,8
2024-08-17T19:00:00Z,2024,8,17
2024-09-15T19:00:00Z,2024,9,15
2024-11-24T00:30:00Z,2024,11,24
2024-09-05T23:00:00Z,2024,9,5
2024-06-16T21:30:00Z,2024,6,16
2024-11-28T00:00:00Z,2024,11,28
2024-07-21T21:30:00Z,2024,7,21
2024-10-19T00:30:00Z,2024,10,19
2024-08-31T21:30:00Z,2024,8,31
2024-10-17T23:00:00Z,2024,10,17
2024-06-20T23:00:00Z,2024,6,20
2024-11-10T00:00:00Z,2024,11,10
2024-09-14T21:30:00Z,2024,9,14
