id,name,shortName,tla,crest,address,website,founded,clubColors,venue
1765,Fluminense FC,Fluminense,FLU,https://crests.football-data.org/1765.png,"Rua Álvaro Chaves 41, Bairro Laranjeiras Rio de Janeiro, RJ 22231-220",http://www.fluminense.com.br,1902,Maroon / Green / White,Estadio Jornalista Mário Filho
1766,CA Mineiro,Mineiro,CAM,https://crests.football-data.org/1766.png,"Av. Olegário Maciel 1516, Lourdes Belo Horizonte, MG 30180-111",http://www.atletico.com.br,1908,Black / White,Estádio Raimundo Sampaio
1767,Grêmio FBPA,Grêmio,FBP,https://crests.football-data.org/1767.png,"Avenida Padre Leopoldo Bretano, 110, Humaitá Porto Alegre, RS 90250-590",http://www.gremio.net,1903,Blue / Black / White,Arena do Grêmio
1769,SE Palmeiras,Palmeiras,PAL,https://crests.football-data.org/1769.png,"Rua Palestra Italia nº 214, Perdizes São Paulo, SP 05005-030",http://www.palmeiras.com.br,1914,Green / White,Allianz Parque
1770,Botafogo FR,Botafogo,BOT,https://crests.football-data.org/1770.png,"Avenida Venceslau Brás 72, Bairro Botafago Rio de Janeiro, RJ 22290-140",http://www.botafogo.com.br,1904,Black / White,Estádio Nilton Santos
1771,Cruzeiro EC,Cruzeiro,CRU,https://crests.football-data.org/1771.png,"Rua Timbiras 2903, Bairro Preto Belo Horizonte, MG 30140-062",http://www.cruzeiro.com.br,1921,Blue / White,Estádio Governador Magalhães Pinto
1776,São Paulo FC,São Paulo,PAU,https://crests.football-data.org/1776.png,"null São Paulo, SP null",http://www.saopaulofc.net,1930,White / Red / Black,Estádio do Morumbi
1777,EC Bahia,Bahia,BAH,https://crests.football-data.org/1777.png,"Rua Antônio Fernandes S/N, Jardim das Margaridas Salvador, BA 41502-590",http://www.esporteclubebahia.com.br,1931,Blue / White / Red,Estádio Governador Roberto Santos
1778,SC Recife,Recife,REC,https://crests.football-data.org/1778.png,"Rua Sport Club do Recife S/N Recife, PE 50750-560",http://www.sportrecife.com.br,1905,Red / Black,Estádio Adelmar da Costa Carvalho
1779,SC Corinthians Paulista,Corinthians,COR,https://crests.football-data.org/1779.png,"Rua São Jorge 777, Tatuapé São Paulo, SP 03087-000",http://www.corinthians.com.br,1910,Black / White,Neo Química Arena
1780,CR Vasco da Gama,Vasco da Gama,VAS,https://crests.football-data.org/1780.png,"Rua Gen. Almério de Moura 131, Bairro Vasco da Gama Rio de Janeiro, RJ 20921-060",http://www.vasco.com.br,1898,Black / White,Estádio Club de Regatas Vasco da Gama
1782,EC Vitória,Vitória,VIT,https://crests.football-data.org/1782.png,"Rua Artêmio Castro Valente, Nossa Senhora da Vitória Salvador, BA 41750-240",http://www.ecvitoria.com.br,1899,Red / Black,Estádio Manoel Barradas
1783,CR Flamengo,Flamengo,FLA,https://crests.football-data.org/1783.png,"null Rio de Janeiro, RJ null",https://www.flamengo.com.br/pagina-inicial-basquete,1919,Red / Black / White,Estadio Jornalista Mário Filho
1837,Ceará SC,Ceará,CSC,https://crests.football-data.org/1837.png,"Av. João Pessoa 3532, Porangabuçu Fortaleza, CE 60425-680",http://www.cearasc.com,1914,Black / White,Estádio Castelão
3984,Fortaleza EC,Fortaleza,FEC,https://crests.football-data.org/3984.png,"Avenida Senador Fernandes Távora 200, Pici Fortaleza, CE 60510-290",http://www.fortalezaec.net,1918,Red / Blue / White,Estádio Castelão
4245,EC Juventude,Juventude,JUV,https://crests.football-data.org/4245_large.png,"Rua Hércules Galló 1547, Centro Caxias do Sul, RS 95090-110",http://www.juventude.com.br,1913,Green / White,Estádio Alfredo Jaconi
4286,RB Bragantino,Bragantino,RBB,https://crests.football-data.org/4286.png,"Rua Emílio Colela S/N, Jd. Nova Bragança Bragança Paulista, SP 12914-410",http://www.bragantino.net,1928,White / Black,Estádio Nabi Abi Chedid
4364,Mirassol FC,Mirassol,MIR,https://crests.football-data.org/4364.png,"null Mirassol, SP null",http://www.mirassolfc.com.br,1925,Green / Yellow,Estádio José Maria de Campos Maia
6684,SC Internacional,Internacional,SCI,https://crests.football-data.org/6684.png,"Avenida Padre Cacique 891, Bairro Menino Deus Porto Alegre, RS 90810-240",http://www.internacional.com.br,1909,Red / White,Estádio José Pinheiro Borba
6685,Santos FC,Santos,SAN,https://crests.football-data.org/6685.png,"Rua Princesa Isabel S/N, Vila Belmiro Santos, SP 11075-501",http://santosfc.com.br,1912,Black / White,Estádio Urbano Caldeira
